Column1,Column2,Number
-4.59E+01,3.41E+01,658
8.48E+01,-1.35E+02,659
8.18E+01,6.67E+01,660
4.17E+01,-1.45E+02,661
2.31E+01,6.08E+00,662
-2.13E-01,9.60E+01,663
1.94E+00,-1.77E+02,664
2.10E+01,-3.18E+01,665
7.92E+00,9.34E+01,666
3.43E+01,-1.06E+02,667
3.80E+01,6.03E+01,668
4.57E+01,-1.74E+02,669
-1.67E+01,-7.46E+01,670
-6.87E+01,9.34E+01,671
3.51E+01,-1.25E+02,672
3.50E+01,-2.67E+01,673
-1.38E+01,1.25E+02,674
1.41E+01,-1.43E+02,675
1.99E+01,5.54E+01,676
7.72E+01,6.20E+01,677
5.89E+01,-1.38E+02,678
4.04E+01,8.21E+01,679
5.12E+01,4.13E+01,680
-5.48E+00,-9.44E+01,681
-5.71E+01,7.84E+01,682
3.28E+01,5.74E+01,683
3.34E+01,-1.43E+02,684
2.84E+01,5.42E+01,685
2.21E+01,-1.03E+02,686
1.83E+01,6.39E+01,687
4.33E+01,6.26E+01,688
7.93E+00,-9.40E+01,689
-9.47E-01,8.46E+01,690
1.98E+01,-7.11E+01,691
3.55E+01,8.64E+01,692
-1.36E+01,5.30E+01,693
-6.78E+01,4.50E+01,694
2.41E+01,-1.47E+02,695
9.27E+00,-1.68E+01,696
-3.38E+01,1.79E+02,697
4.66E+00,-8.25E+01,698
-6.22E+01,1.25E+02,699
-2.41E+00,1.62E+02,700
-1.85E+01,1.60E+02,701
-2.22E+01,1.61E+02,702
-5.31E+01,1.57E+02,703
-4.62E+01,1.55E+02,704
-5.30E+01,1.57E+02,705
-5.79E+01,1.59E+02,706
-3.39E+01,2.68E+02,707
-1.83E+01,2.69E+02,708
-3.69E+01,1.79E+02,709
-3.18E+01,1.83E+02,710
-3.66E+01,2.46E+02,711
-3.65E+01,2.93E+02,712
-6.06E+01,2.90E+02,713
-4.32E+01,1.58E+02,714
-4.32E+01,1.58E+02,715
-2.23E+01,1.87E+02,716
-5.18E+01,1.79E+02,717
-3.43E+01,1.80E+02,718
2.84E+01,-1.31E+02,719
2.40E+01,-3.25E+01,720
2.37E+01,1.08E+02,721
-5.36E+00,-1.42E+02,722
-1.52E+01,-3.18E+01,723
-4.42E+01,1.07E+02,724
-1.26E+01,-1.35E+02,725
-3.48E+01,-3.84E+01,726
-5.52E+01,9.98E+01,727
7.36E+00,-2.18E+02,728
5.21E+00,-1.57E+01,729
3.86E+00,-1.74E+02,730
-1.36E+01,-6.16E+01,731
-5.40E+01,6.24E+01,732
2.61E+01,-2.55E+02,733
4.14E+01,-2.41E+02,734
-3.85E+01,-3.29E+01,735
-8.51E+00,-7.47E+01,736
