Date,BMeasurement,Units,BAQI,BCity,BLat,BLon,Type,CMeasurement,CAQI,CCity,CLat,CLon,LMeasurement,LAQI,LCity,LLat,LLon,AMeasurement,AAQI,ACity,ALat,ALon
4/3/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.7,8,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/4/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.9,10,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/5/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.7,8,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/6/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.8,9,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/7/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/8/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/9/2016,0.2,ppm,2,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.5,6,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/10/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/11/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.6,7,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/12/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/13/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.5,6,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/15/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/17/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.6,7,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/18/2016,0.4,ppm,5,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.7,8,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/19/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.7,8,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/20/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.8,9,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/21/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.6,7,"Chicago, IL",42.13999619,-87.79922692,0.8,9,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/22/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.7,8,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/23/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.3,3,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
4/26/2016,0.3,ppm,3,"Boston, MA",42.3295,-71.0826,CO,0.2,2,"Chicago, IL",42.13999619,-87.79922692,0.4,5,"Los Angeles, CA",34.06659,-118.22688,0,0,"Austin, TX",30.354436,-97.760255
