Year,Make,Model,Quantity,Country
2013,Toyota ,Toyota Auris,311,Japan
2014,Toyota ,Toyota Auris,563,Japan
2014,Toyota ,Toyota Auris,453,Japan
2014,Toyota ,Toyota Auris,472,Japan
2014,Toyota ,Toyota Auris,418,Japan
2014,Toyota ,Toyota Auris,408,Japan
2014,Toyota ,Toyota Auris,399,Japan
2014,Toyota ,Toyota Auris,456,Japan
2014,Toyota ,Toyota Auris,461,Japan
2014,Toyota ,Toyota Auris,537,Japan
2014,Toyota ,Toyota Auris,480,Japan
2014,Toyota ,Toyota Auris,381,Japan
2014,Toyota ,Toyota Auris,357,Japan
2015,Toyota ,Toyota Auris,313,Japan
2015,Toyota ,Toyota Auris,365,Japan
2015,Toyota ,Toyota Auris,486,Japan
2015,Toyota ,Toyota Auris,509,Japan
2015,Toyota ,Toyota Auris,352,Japan
2015,Toyota ,Toyota Auris,336,Japan
2015,Toyota ,Toyota Auris,294,Japan
2015,Toyota ,Toyota Auris,412,Japan
2015,Toyota ,Toyota Auris,535,Japan
2015,Toyota ,Toyota Auris,574,Japan
2015,Toyota ,Toyota Auris,450,Japan
2015,Toyota ,Toyota Auris,264,Japan
2016,Toyota ,Toyota Auris,300,Japan
2016,Toyota ,Toyota Auris,332,Japan
2016,Toyota ,Toyota Auris,507,Japan
2016,Toyota ,Toyota Auris,428,Japan
2016,Toyota ,Toyota Auris,448,Japan
2016,Toyota ,Toyota Auris,435,Japan
2016,Toyota ,Toyota Auris,251,Japan
2016,Toyota ,Toyota Auris,361,Japan
2016,Toyota ,Toyota Auris,492,Japan
2016,Toyota ,Toyota Auris,339,Japan
2016,Toyota ,Toyota Auris,320,Japan
2016,Toyota ,Toyota Auris,206,Japan
2010,Toyota ,Toyota Avensis,347,Japan
2010,Toyota ,Toyota Avensis,313,Japan
2010,Toyota ,Toyota Avensis,382,Japan
2010,Toyota ,Toyota Avensis,297,Japan
2010,Toyota ,Toyota Avensis,289,Japan
2010,Toyota ,Toyota Avensis,353,Japan
2010,Toyota ,Toyota Avensis,416,Japan
2010,Toyota ,Toyota Avensis,411,Japan
2010,Toyota ,Toyota Avensis,318,Japan
2010,Toyota ,Toyota Avensis,299,Japan
2010,Toyota ,Toyota Avensis,354,Japan
2010,Toyota ,Toyota Avensis,142,Japan
2011,Toyota ,Toyota Avensis,414,Japan
2011,Toyota ,Toyota Avensis,326,Japan
2011,Toyota ,Toyota Avensis,369,Japan
2011,Toyota ,Toyota Avensis,296,Japan
2011,Toyota ,Toyota Avensis,335,Japan
